time,g_x,g_y,g_z,a_x,a_y,a_z
01-19-2021_13-09-25,-4.366901244999999,1.3208380752,9.0424766054,-0.3671875,-0.046875,0.28125
01-19-2021_13-09-25,-4.359722777199999,1.2993026717999998,9.0424766054,-0.4296875,-0.046875,0.34375
01-19-2021_13-09-25,-4.3645084224,1.3016954943999999,9.056833541,-0.6796875,-0.1796875,0.359375
01-19-2021_13-09-25,-4.369294067599999,1.3351950108,9.0472622506,-0.328125,-0.1953125,0.2265625
01-19-2021_13-09-25,-4.369294067599999,1.3184452526,9.037690960199999,0.25,-0.0390625,0.4765625
01-19-2021_13-09-25,-4.3812581806,1.3136596073999998,9.054440718399999,-0.1484375,-0.09375,0.59375
01-19-2021_13-09-25,-4.369294067599999,1.3184452526,9.0305124924,-0.3046875,-0.234375,0.3203125
01-19-2021_13-09-25,-4.369294067599999,1.3016954943999999,9.013762734199998,-0.2109375,-0.1328125,0.3359375
01-19-2021_13-09-25,-4.366901244999999,1.3040883169999997,9.0472622506,0.015625,-0.3046875,0.4140625
01-19-2021_13-09-25,-4.402793583999999,1.2993026717999998,9.0305124924,-0.0703125,0.0546875,0.1328125
01-19-2021_13-09-25,-4.3645084224,1.3088739621999999,9.028119669799999,-0.0859375,-0.2734375,0.1796875
01-19-2021_13-09-25,-4.366901244999999,1.3016954943999999,9.0305124924,-0.1875,-0.1953125,0.7265625
01-19-2021_13-09-25,-4.378865358,1.3184452526,9.059226363599999,-0.1484375,-0.1171875,0.4765625
01-19-2021_13-09-25,-4.362115599799999,1.3208380752,9.0424766054,-0.0390625,-0.0546875,0.375
01-19-2021_13-09-25,-4.3716868902,1.3184452526,9.0400837828,-0.171875,-0.09375,0.671875
01-19-2021_13-09-25,-4.3812581806,1.2945170266000001,9.0424766054,-0.0625,-0.3203125,0.3203125
01-19-2021_13-09-26,-4.3645084224,1.3160524299999998,9.0305124924,-0.6015625,-0.4453125,0.4765625
01-19-2021_13-09-26,-4.3716868902,1.3064811396,9.028119669799999,-0.3046875,-0.1328125,0.46875
01-19-2021_13-09-26,-4.3812581806,1.3016954943999999,9.0400837828,-0.4296875,-0.3359375,0.3984375
01-19-2021_13-09-26,-4.3716868902,1.3040883169999997,9.0257268472,-0.3125,-0.15625,0.109375
01-19-2021_13-09-26,-4.3836510032,1.3088739621999999,9.035298137599998,-0.1015625,-0.1484375,0.21875
01-19-2021_13-09-26,-4.369294067599999,1.3208380752,9.037690960199999,-0.3359375,-0.171875,0.3984375
01-19-2021_13-09-26,-4.3812581806,1.3184452526,9.044869428,-0.0703125,0.0078125,0.5625
01-19-2021_13-09-26,-4.3764725354,1.3112667848,9.044869428,0.0234375,-0.203125,0.234375
01-19-2021_13-09-26,-4.3836510032,1.3304093656,9.028119669799999,-0.28125,-0.2421875,-0.140625
01-19-2021_13-09-26,-4.3716868902,1.2969098492,9.035298137599998,-0.375,0.046875,0.34375
01-19-2021_13-09-26,-4.369294067599999,1.3232308977999998,9.0520478958,-0.109375,-0.4375,0.296875
01-19-2021_13-09-26,-4.3764725354,1.3351950108,9.028119669799999,-0.1171875,0.1796875,0.4453125
01-19-2021_13-09-26,-4.3812581806,1.2993026717999998,9.044869428,-0.4296875,-0.375,0.4765625
01-19-2021_13-09-26,-4.3573299546,1.3208380752,9.0400837828,-0.265625,-0.296875,0.2265625
01-19-2021_13-09-26,-4.369294067599999,1.3112667848,9.0424766054,-0.234375,-0.21875,0.046875
01-19-2021_13-09-26,-4.354937132,1.3160524299999998,9.044869428,-0.3359375,-0.21875,0.3828125
01-19-2021_13-09-27,-4.369294067599999,1.3256237203999999,9.0400837828,-0.34375,0.0703125,0.390625
01-19-2021_13-09-27,-4.359722777199999,1.3064811396,9.037690960199999,-0.4765625,-0.4765625,0.359375
01-19-2021_13-09-27,-4.359722777199999,1.3016954943999999,9.049655073199999,-0.6015625,0.1796875,0.5
01-19-2021_13-09-27,-4.3645084224,1.3064811396,9.0424766054,-0.375,-0.015625,0.328125
01-19-2021_13-09-27,-4.366901244999999,1.3112667848,9.032905314999999,-0.375,-0.25,0.125
01-19-2021_13-09-27,-4.3764725354,1.3112667848,9.0400837828,-0.375,-0.15625,0.5078125
01-19-2021_13-09-27,-4.3716868902,1.3040883169999997,9.049655073199999,-0.0078125,-0.328125,0.0390625
01-19-2021_13-09-27,-4.3812581806,1.3280165429999997,9.049655073199999,-0.40625,0.0078125,0.1875
01-19-2021_13-09-27,-4.3812581806,1.3184452526,9.054440718399999,-0.2109375,-0.21875,0.34375
01-19-2021_13-09-27,-4.3740797127999995,1.3232308977999998,9.037690960199999,0.1328125,0.1171875,0.3203125
01-19-2021_13-09-27,-4.3740797127999995,1.3088739621999999,9.0520478958,-0.4453125,0.0546875,0.5546875
01-19-2021_13-09-27,-4.378865358,1.3136596073999998,9.056833541,-0.0625,-0.15625,0.2421875
01-19-2021_13-09-27,-4.3645084224,1.3136596073999998,9.035298137599998,-0.3828125,0.015625,0.1484375
01-19-2021_13-09-27,-4.378865358,1.3136596073999998,9.054440718399999,-0.296875,0.2421875,0.3828125
01-19-2021_13-09-27,-4.369294067599999,1.3136596073999998,9.028119669799999,-0.3125,-0.5,0.5078125
01-19-2021_13-09-27,-4.3812581806,1.3040883169999997,9.0424766054,-0.3671875,-0.2734375,0.4375
01-19-2021_13-09-27,-4.3716868902,1.3064811396,9.044869428,-0.1328125,0.03125,0.40625
01-19-2021_13-09-28,-4.3812581806,1.3064811396,9.044869428,-0.375,0.046875,0.015625
01-19-2021_13-09-28,-4.3716868902,1.3088739621999999,9.0305124924,-0.046875,-0.234375,0.34375
01-19-2021_13-09-28,-4.3716868902,1.3351950108,9.035298137599998,-0.234375,-0.359375,0.453125
01-19-2021_13-09-28,-4.3740797127999995,1.3016954943999999,9.0400837828,0.0625,-0.078125,-0.0390625
01-19-2021_13-09-28,-4.3645084224,1.3256237203999999,9.049655073199999,-0.1640625,-0.046875,0.359375
01-19-2021_13-09-28,-4.3740797127999995,1.3184452526,9.056833541,-0.3125,-0.4375,0.3359375
01-19-2021_13-09-28,-4.3860438258,1.3184452526,9.056833541,-0.84375,-0.3203125,0.5859375
01-19-2021_13-09-28,-4.3764725354,1.2993026717999998,9.059226363599999,-0.125,-0.25,0.140625
01-19-2021_13-09-28,-4.369294067599999,1.3399806559999998,9.0305124924,-0.21875,0.0703125,0.5390625
01-19-2021_13-09-28,-4.3860438258,1.3208380752,9.032905314999999,0.015625,0.0625,0.203125
01-19-2021_13-09-28,-4.3812581806,1.3064811396,9.0520478958,0.140625,-0.125,0.1328125
01-19-2021_13-09-28,-4.3836510032,1.3040883169999997,9.044869428,-0.4765625,-0.3203125,0.5546875
01-19-2021_13-09-28,-4.366901244999999,1.3184452526,9.035298137599998,-0.109375,0.2578125,0.328125
01-19-2021_13-09-28,-4.378865358,1.3399806559999998,9.044869428,-0.7265625,-0.34375,0.5703125
01-19-2021_13-09-28,-4.3764725354,1.3160524299999998,9.037690960199999,0.0859375,-0.203125,-0.15625
01-19-2021_13-09-28,-4.369294067599999,1.3016954943999999,9.056833541,-0.2265625,-0.1484375,0.453125
01-19-2021_13-09-28,-4.378865358,1.3016954943999999,9.044869428,-0.265625,-0.25,0.453125
01-19-2021_13-09-29,-4.3860438258,1.3040883169999997,9.044869428,-0.3125,-0.1953125,0.5078125
01-19-2021_13-09-29,-4.3645084224,1.3064811396,9.032905314999999,0.0859375,-0.0859375,0.5234375
01-19-2021_13-09-29,-4.3764725354,1.3160524299999998,9.0257268472,-0.0625,-0.0859375,0.609375
01-19-2021_13-09-29,-4.3740797127999995,1.3232308977999998,9.049655073199999,-0.3984375,-0.1953125,0.03125
01-19-2021_13-09-29,-4.3716868902,1.3112667848,9.020941202,-0.578125,-0.234375,0.3203125
01-19-2021_13-09-29,-4.3740797127999995,1.3160524299999998,9.0400837828,-0.046875,0.046875,0.4453125
01-19-2021_13-09-29,-4.362115599799999,1.2945170266000001,9.037690960199999,-0.1953125,0.1171875,0.421875
01-19-2021_13-09-29,-4.362115599799999,1.3304093656,9.0424766054,-0.765625,-0.046875,0.2421875
01-19-2021_13-09-29,-4.3645084224,1.3184452526,9.032905314999999,-0.5,-0.3203125,0.1640625
01-19-2021_13-09-29,-4.3573299546,1.3040883169999997,9.0305124924,-0.2890625,-0.21875,0.265625
01-19-2021_13-09-29,-4.3884366484,1.3232308977999998,9.037690960199999,-0.2109375,-0.0703125,0.1875
01-19-2021_13-09-29,-4.366901244999999,1.3088739621999999,9.032905314999999,-0.3359375,-0.171875,0.0859375
01-19-2021_13-09-29,-4.3716868902,1.2993026717999998,9.0424766054,0.140625,-0.1484375,0.234375
01-19-2021_13-09-29,-4.378865358,1.3088739621999999,9.0305124924,-0.375,-0.1953125,0.453125
01-19-2021_13-09-29,-4.3764725354,1.3040883169999997,9.044869428,-0.1484375,-0.109375,0.359375
01-19-2021_13-09-29,-4.3764725354,1.3088739621999999,9.037690960199999,-0.453125,-0.2109375,0.203125
01-19-2021_13-09-30,-4.3764725354,1.3088739621999999,9.035298137599998,-0.3125,-0.0078125,0.1875
01-19-2021_13-09-30,-4.3764725354,1.3351950108,9.0305124924,-0.0859375,-0.046875,0.1484375
01-19-2021_13-09-30,-4.378865358,1.3112667848,9.035298137599998,-0.3984375,-0.109375,0.28125
01-19-2021_13-09-30,-4.3764725354,1.3088739621999999,9.044869428,-0.75,-0.3359375,0.2578125
01-19-2021_13-09-30,-4.3884366484,1.3280165429999997,9.035298137599998,-0.1484375,0.078125,0.3046875
01-19-2021_13-09-30,-4.3764725354,1.3208380752,9.0257268472,0.0546875,-0.0234375,0.4453125
01-19-2021_13-09-30,-4.3740797127999995,1.2873385588,9.0185483794,-0.1015625,-0.1953125,0.28125
01-19-2021_13-09-30,-4.369294067599999,1.3088739621999999,9.0472622506,-0.375,-0.34375,0.5078125
01-19-2021_13-09-30,-4.369294067599999,1.2993026717999998,9.0185483794,-0.3046875,-0.09375,0.2421875
01-19-2021_13-09-30,-4.378865358,1.3160524299999998,9.035298137599998,-0.3125,-0.1171875,0.546875
01-19-2021_13-09-30,-4.378865358,1.3088739621999999,9.0616191862,-0.234375,0.0703125,0.421875
01-19-2021_13-09-30,-4.369294067599999,1.3160524299999998,9.0400837828,-0.515625,-0.3984375,0.203125
01-19-2021_13-09-30,-4.359722777199999,1.3304093656,9.056833541,-0.046875,-0.0546875,0.3203125
01-19-2021_13-09-30,-4.3645084224,1.3016954943999999,9.020941202,-0.4296875,-0.1796875,0.21875
01-19-2021_13-09-30,-4.369294067599999,1.3184452526,9.0400837828,-0.3671875,-0.2734375,0.359375
01-19-2021_13-09-30,-4.3716868902,1.3112667848,9.056833541,-0.328125,-0.03125,0.140625
01-19-2021_13-09-30,-4.369294067599999,1.3232308977999998,9.049655073199999,-0.4375,-0.0078125,0.2734375
01-19-2021_13-09-31,-4.3740797127999995,1.2897313813999998,9.0400837828,-0.390625,-0.0546875,0.359375
01-19-2021_13-09-31,-4.369294067599999,1.3064811396,9.037690960199999,-0.265625,-0.1328125,0.1484375
01-19-2021_13-09-31,-4.3645084224,1.3256237203999999,9.0257268472,-0.171875,-0.1171875,0.109375
01-19-2021_13-09-31,-4.3764725354,1.3160524299999998,9.0424766054,-0.4921875,-0.1328125,0.46875
01-19-2021_13-09-31,-4.3740797127999995,1.3256237203999999,9.0424766054,0.1171875,-0.0625,0.4765625
01-19-2021_13-09-31,-4.359722777199999,1.3160524299999998,9.059226363599999,-0.265625,-0.2109375,0.34375
01-19-2021_13-09-31,-4.362115599799999,1.3304093656,9.032905314999999,0.1640625,-0.3515625,0.65625
01-19-2021_13-09-31,-4.3716868902,1.3112667848,9.049655073199999,-0.3515625,-0.1171875,0.3046875
01-19-2021_13-09-31,-4.3740797127999995,1.3232308977999998,9.054440718399999,-0.234375,0.1171875,0.5390625
01-19-2021_13-09-31,-4.354937132,1.3016954943999999,9.0257268472,-0.0625,-0.21875,0.140625
01-19-2021_13-09-31,-4.3860438258,1.3328021881999998,9.0257268472,-0.0859375,-0.1171875,0.453125
01-19-2021_13-09-31,-4.3860438258,1.3088739621999999,9.056833541,-0.6171875,-0.4765625,0.21875
01-19-2021_13-09-31,-4.3740797127999995,1.3184452526,9.054440718399999,-0.171875,-0.109375,0.265625
01-19-2021_13-09-31,-4.369294067599999,1.3136596073999998,9.0472622506,-0.3203125,0.015625,0.5546875
01-19-2021_13-09-31,-4.3764725354,1.3112667848,9.049655073199999,-0.5546875,-0.2109375,0.28125
01-19-2021_13-09-31,-4.3740797127999995,1.3040883169999997,9.044869428,-0.15625,0.2578125,0.4609375
01-19-2021_13-09-31,-4.3836510032,1.3208380752,9.0520478958,-0.046875,-0.1796875,0.3359375
01-19-2021_13-09-32,-4.3764725354,1.3136596073999998,9.0520478958,0.078125,-0.140625,0.4296875
01-19-2021_13-09-32,-4.3740797127999995,1.3160524299999998,9.032905314999999,-0.2109375,-0.296875,0.59375
01-19-2021_13-09-32,-4.362115599799999,1.3112667848,9.0161555568,-0.34375,0.03125,0.34375
01-19-2021_13-09-32,-4.359722777199999,1.3088739621999999,9.0520478958,-0.5234375,-0.1328125,0.3203125
01-19-2021_13-09-32,-4.3740797127999995,1.3184452526,9.0424766054,-0.4140625,-0.03125,0.265625
01-19-2021_13-09-32,-4.3836510032,1.2969098492,9.0113699116,-0.453125,-0.2734375,0.4375
01-19-2021_13-09-32,-4.3764725354,1.3040883169999997,9.0520478958,-0.3671875,-0.15625,0.515625
01-19-2021_13-09-32,-4.3740797127999995,1.3256237203999999,9.0616191862,-0.4140625,-0.1171875,0.125
01-19-2021_13-09-32,-4.3812581806,1.3232308977999998,9.064012008799999,-0.40625,0.09375,0.4765625
01-19-2021_13-09-32,-4.366901244999999,1.3112667848,9.023334024599999,-0.4296875,-0.046875,0.2578125
01-19-2021_13-09-32,-4.3764725354,1.3136596073999998,9.044869428,-0.4609375,-0.1796875,0.2265625
01-19-2021_13-09-32,-4.3740797127999995,1.3088739621999999,9.037690960199999,-0.25,-0.3203125,0.375
01-19-2021_13-09-32,-4.369294067599999,1.3208380752,9.059226363599999,-0.328125,-0.0546875,0.359375
01-19-2021_13-09-32,-4.3716868902,1.2945170266000001,9.032905314999999,-0.3125,-0.046875,0.265625
01-19-2021_13-09-32,-4.3716868902,1.2993026717999998,9.0400837828,-0.09375,0.296875,0.171875
01-19-2021_13-09-32,-4.3645084224,1.3160524299999998,9.032905314999999,-0.515625,-0.09375,0.5078125
01-19-2021_13-09-32,-4.3884366484,1.3064811396,9.044869428,-0.328125,-0.1171875,0.4765625
01-19-2021_13-09-33,-4.354937132,1.3280165429999997,9.0520478958,-0.2109375,-0.671875,0.2421875
01-19-2021_13-09-33,-4.3740797127999995,1.2993026717999998,9.0257268472,-0.375,0.1171875,0.2890625
01-19-2021_13-09-33,-4.3716868902,1.3208380752,9.032905314999999,-0.328125,-0.375,0.625
01-19-2021_13-09-33,-4.3764725354,1.3136596073999998,9.0161555568,-0.140625,-0.1328125,0.3203125
01-19-2021_13-09-33,-4.3764725354,1.2993026717999998,9.023334024599999,-0.3359375,-0.1953125,0.4765625
01-19-2021_13-09-33,-4.3716868902,1.3136596073999998,9.023334024599999,-0.171875,-0.28125,0.109375
01-19-2021_13-09-33,-4.362115599799999,1.3136596073999998,9.037690960199999,-0.3515625,-0.15625,0.46875
01-19-2021_13-09-33,-4.3764725354,1.3184452526,9.0424766054,-0.234375,0.046875,0.3671875
01-19-2021_13-09-33,-4.3764725354,1.3040883169999997,9.0305124924,-0.0390625,-0.1953125,0.3203125
01-19-2021_13-09-33,-4.3764725354,1.3232308977999998,9.035298137599998,-0.3125,-0.21875,0.140625
01-19-2021_13-09-33,-4.3645084224,1.3160524299999998,9.032905314999999,-0.4375,0.046875,0.421875
01-19-2021_13-09-33,-4.3836510032,1.3208380752,9.0305124924,-0.3046875,-0.2734375,0.375
01-19-2021_13-09-33,-4.3501514868,1.3112667848,9.028119669799999,-0.0390625,-0.1328125,0.21875
01-19-2021_13-09-33,-4.3740797127999995,1.2993026717999998,9.044869428,-0.1484375,-0.359375,0.3046875
01-19-2021_13-09-33,-4.369294067599999,1.3040883169999997,9.0424766054,-0.0078125,-0.2421875,0.578125
01-19-2021_13-09-33,-4.3860438258,1.3064811396,9.037690960199999,-0.5234375,-0.4140625,0.2265625
01-19-2021_13-09-34,-4.369294067599999,1.3304093656,9.054440718399999,-0.078125,-0.1796875,0.3984375
01-19-2021_13-09-34,-4.3740797127999995,1.3208380752,9.0257268472,-0.0390625,-0.1171875,0.0625
01-19-2021_13-09-34,-4.366901244999999,1.3160524299999998,9.054440718399999,-0.2265625,-0.1484375,0.5859375
01-19-2021_13-09-34,-4.3716868902,1.3256237203999999,9.0520478958,-0.203125,-0.21875,0.0625
01-19-2021_13-09-34,-4.3740797127999995,1.3040883169999997,9.044869428,-0.5390625,-0.046875,0.4140625
01-19-2021_13-09-34,-4.354937132,1.3208380752,9.035298137599998,-0.1484375,0.015625,0.2265625
01-19-2021_13-09-34,-4.3716868902,1.3136596073999998,9.0400837828,-0.1484375,-0.0078125,0.3046875
01-19-2021_13-09-34,-4.3716868902,1.3136596073999998,9.0257268472,-0.5390625,-0.1328125,0.1875
01-19-2021_13-09-34,-4.369294067599999,1.3040883169999997,9.044869428,-0.1328125,0.046875,0.4609375
01-19-2021_13-09-34,-4.369294067599999,1.3208380752,9.0185483794,-0.2734375,-0.109375,0.46875
01-19-2021_13-09-34,-4.3716868902,1.3040883169999997,9.0472622506,-0.4921875,-0.015625,0.09375
01-19-2021_13-09-34,-4.3716868902,1.3160524299999998,9.0400837828,-0.5,-0.1328125,0.4140625
01-19-2021_13-09-34,-4.3836510032,1.2993026717999998,9.054440718399999,-0.3984375,-0.03125,0.21875
01-19-2021_13-09-34,-4.354937132,1.3040883169999997,9.049655073199999,0.125,-0.1640625,0.0390625
01-19-2021_13-09-34,-4.3836510032,1.3184452526,9.020941202,-0.28125,-0.0078125,0.40625
01-19-2021_13-09-34,-4.369294067599999,1.3160524299999998,9.028119669799999,-0.1875,-0.1171875,0.4140625
01-19-2021_13-09-35,-4.3836510032,1.2945170266000001,9.0161555568,-0.234375,-0.0546875,0.609375
01-19-2021_13-09-35,-4.3860438258,1.3016954943999999,9.0424766054,-0.3125,-0.4609375,0.140625
01-19-2021_13-09-35,-4.3645084224,1.3112667848,9.0400837828,-0.1015625,-0.2109375,0.140625
01-19-2021_13-09-35,-4.366901244999999,1.3160524299999998,9.035298137599998,-0.515625,-0.1484375,0.203125
01-19-2021_13-09-35,-4.3645084224,1.3184452526,9.028119669799999,-0.046875,-0.03125,0.546875
01-19-2021_13-09-35,-4.378865358,1.3064811396,9.0161555568,-0.203125,-0.21875,0.3359375
01-19-2021_13-09-35,-4.366901244999999,1.2969098492,9.0400837828,-0.3359375,-0.03125,0.5078125
01-19-2021_13-09-35,-4.3740797127999995,1.3304093656,9.0520478958,-0.3984375,-0.2734375,0.1875
01-19-2021_13-09-35,-4.3812581806,1.3208380752,9.0424766054,-0.0078125,-0.3515625,0.2734375
01-19-2021_13-09-35,-4.369294067599999,1.3208380752,9.0400837828,-0.4921875,-0.21875,0.2265625
01-19-2021_13-09-35,-4.3740797127999995,1.3112667848,9.0305124924,0.0,-0.0625,0.078125
01-19-2021_13-09-35,-4.3645084224,1.3160524299999998,9.0424766054,-0.2109375,0.1328125,0.484375
01-19-2021_13-09-35,-4.369294067599999,1.3184452526,9.035298137599998,-0.046875,-0.1484375,0.515625
01-19-2021_13-09-35,-4.378865358,1.3160524299999998,9.056833541,-0.109375,-0.0703125,0.453125
01-19-2021_13-09-35,-4.390829470999999,1.3256237203999999,9.0472622506,-0.4609375,0.03125,0.390625
01-19-2021_13-09-35,-4.3860438258,1.3016954943999999,9.0424766054,-0.328125,-0.109375,0.2421875
01-19-2021_13-09-36,-4.366901244999999,1.3088739621999999,9.0400837828,-0.0859375,-0.0546875,0.125
01-19-2021_13-09-36,-4.366901244999999,1.2945170266000001,9.049655073199999,-0.2265625,-0.1171875,0.4375
01-19-2021_13-09-36,-4.369294067599999,1.3423734786,9.020941202,-0.1875,-0.015625,0.5546875
01-19-2021_13-09-36,-4.3860438258,1.3136596073999998,9.044869428,-0.4921875,-0.0859375,0.46875
01-19-2021_13-09-36,-4.3716868902,1.3112667848,9.049655073199999,0.078125,-0.171875,0.390625
01-19-2021_13-09-36,-4.3740797127999995,1.3088739621999999,9.044869428,-0.328125,-0.2734375,0.2578125
01-19-2021_13-09-36,-4.3716868902,1.3088739621999999,9.0400837828,-0.203125,-0.0859375,0.4921875
01-19-2021_13-09-36,-4.366901244999999,1.3088739621999999,9.0305124924,-0.5234375,-0.3203125,0.1484375
01-19-2021_13-09-36,-4.3836510032,1.3112667848,9.0257268472,-0.4765625,-0.1796875,0.421875
01-19-2021_13-09-36,-4.3716868902,1.3280165429999997,9.0424766054,-0.25,-0.171875,0.515625
01-19-2021_13-09-36,-4.366901244999999,1.3136596073999998,9.0424766054,-0.4296875,-0.09375,0.6328125
01-19-2021_13-09-36,-4.3573299546,1.3136596073999998,9.0424766054,-0.390625,-0.1484375,0.421875
01-19-2021_13-09-36,-4.369294067599999,1.3304093656,9.0305124924,-0.2734375,-0.09375,0.421875
01-19-2021_13-09-36,-4.366901244999999,1.3136596073999998,9.032905314999999,0.0859375,-0.3359375,0.0546875
01-19-2021_13-09-36,-4.354937132,1.2969098492,9.035298137599998,-0.5546875,-0.1953125,0.4375
01-19-2021_13-09-36,-4.378865358,1.3184452526,9.049655073199999,-0.0859375,-0.21875,0.375
01-19-2021_13-09-37,-4.362115599799999,1.3232308977999998,9.0400837828,-0.046875,-0.0859375,0.5078125
01-19-2021_13-09-37,-4.3716868902,1.3160524299999998,9.032905314999999,-0.4140625,-0.28125,0.4140625
01-19-2021_13-09-37,-4.369294067599999,1.3184452526,9.037690960199999,-0.3359375,-0.28125,0.3203125
01-19-2021_13-09-37,-4.362115599799999,1.3160524299999998,9.032905314999999,0.0625,-0.0078125,0.359375
01-19-2021_13-09-37,-4.3645084224,1.3088739621999999,9.044869428,-0.4140625,-0.3359375,0.46875
01-19-2021_13-09-37,-4.369294067599999,1.3064811396,9.035298137599998,-0.4296875,-0.1171875,0.1640625
01-19-2021_13-09-37,-4.378865358,1.3232308977999998,9.023334024599999,-0.171875,-0.1171875,0.359375
01-19-2021_13-09-37,-4.366901244999999,1.3016954943999999,9.020941202,-0.0234375,-0.046875,0.1015625
01-19-2021_13-09-37,-4.369294067599999,1.3280165429999997,9.054440718399999,-0.1171875,0.1171875,0.2890625
01-19-2021_13-09-37,-4.362115599799999,1.3184452526,9.0520478958,0.0,-0.4140625,0.3671875
01-19-2021_13-09-37,-4.3764725354,1.3088739621999999,9.023334024599999,-0.1015625,-0.0703125,0.265625
01-19-2021_13-09-37,-4.366901244999999,1.2993026717999998,9.028119669799999,-0.203125,-0.2109375,0.4375
01-19-2021_13-09-37,-4.3812581806,1.3112667848,9.0305124924,-0.3671875,-0.09375,0.2578125
01-19-2021_13-09-37,-4.3740797127999995,1.3208380752,9.028119669799999,0.0390625,-0.25,0.1328125
01-19-2021_13-09-37,-4.369294067599999,1.3232308977999998,9.035298137599998,-0.2421875,0.0078125,0.5390625
